Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
svnaranjo,CAIDO,yibarra,INC000087088761,Manabi - O&M Total
rtaco,atenuacion,gguayanlema,INC000087088752,Huawei
atrujillo,Voltaje F1/F2,atrujillo,INC000087088751,Manabi - O&M Total
svnaranjo,PUERTOS ALARMADOS SLOT 8 PUERTO 3,lasifuela,INC000087087599,Manabi - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000087086311,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,CAIDO,aortiz,INC000087084188,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,REVISION DE ALARMAS,basanguano,INC000087083428,Redes Inalámbricas - Móvil Pacífico
rtaco,INTERMITENTE,gguayanlema,INC000087083418,Columbus Network
wllumitaxi,CAIDO,wllumitaxi,INC000087083417,Redes Inalámbricas - Móvil Pacífico
rtaco,INTERMITENTE,gguayanlema,INC000087081895,Telxius
svnaranjo,CAIDO,yibarra,INC000087080375,Unidad de Soporte de Servicios Masivos
rtaco,CAIDO,yibarra,INC000087078092,El Oro - O&M Total
gayungan,CAIDO,gayungan,INC000087078078,Redes Inalámbricas - Móvil Andina
rtaco,CAIDO,yibarra,INC000087077767,Energía y Climatización - Región Pacífico
gayungan,FALLA DE RED PUBLICA,yacunia,INC000087077378,El Oro - O&M Total
atrujillo,Voltaje F1/F2,atrujillo,INC000087077310,Sto Domingo - O&M Total
atrujillo,Voltaje F1/F2,atrujillo,INC000087074265,Tungurahua - O&M Total
rtaco,CAIDO,svnaranjo,INC000087074263,Manabi - O&M Total
gayungan,LOCAL CELL ID 2,yacunia,INC000087074258,Redes Inalámbricas - Móvil Pacífico
gayungan,FALLA DE AC,gayungan,INC000087073496,Redes Inalámbricas - Móvil Andina
atrujillo,CAIDO,atrujillo,INC000087073493,Redes Inalámbricas - Troncalizado Pacífico
gayungan,CAIDO,gayungan,INC000087073487,Sto Domingo - O&M Total
svnaranjo,FALLA DE ACS,svnaranjo,INC000087073479,Sto Domingo - O&M Total
rtaco,caido,rtaco,INC000087069681,Telxius
svnaranjo,CAIDO,alcarvajal,INC000087068912,Los Rios - O&M Total
