Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
egcadena,CAIDO,yibarra,INC000086595245,Manabi - O&M Total
svnaranjo,FALLA DE AC,lasifuela,INC000086594631,Manabi - O&M Total
egcadena,FALLA DE AC,lasifuela,INC000086594477,Manabi - O&M Total
yacunia,AC Power Failure Alarm,pcriollo,INC000086591772,Santa Elena - O&M Total
basanguano,CAIDO,basanguano,INC000086591438,Redes Inalámbricas - Móvil Andina
yacunia,CAIDO,yacunia,INC000086591434,Redes Inalámbricas - Móvil Pacífico
egcadena,caido,yibarra,INC000086590672,Bolivar - O&M Total
yacunia,INTERMITENTE,fomorocho,INC000086590670,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000086590668,Azuay - O&M
yacunia,CAIDO,pcriollo,INC000086590665,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,yibarra,INC000086589904,Energía y Climatización - Región Pacífico
svnaranjo,FUENTE AC,fomorocho,INC000086589145,Sucumbios - O&M Total
egcadena,INTERMITENTE,pcriollo,INC000086587628,Unidad de Soporte de Servicios Masivos
gguayanlema,CAIDO,yibarra,INC000086585812,Energía y Climatización - Región Pacífico
basanguano,CAIDO,amleons,INC000086584585,Redes Inalámbricas - Móvil Pacífico
basanguano,CAIDO/ INTERMITENTE,jdgranda,INC000086576235,Redes Inalámbricas - Móvil Andina
egcadena,CAIDO,pcriollo,INC000086576232,Energía y Climatización - Región Andina
egcadena,FALLA DE AC,egcadena,INC000086573195,Orellana - O&M Total
atrujillo,CAIDO,pcriollo,INC000086565587,Huawei
wllumitaxi,CAIDO,pcriollo,INC000086561795,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,CAÍDO,pcriollo,INC000086561035,Redes Fibra Óptica - Red Troncal Andina
mmiranda,FALLA DE AC,mmiranda,INC000086560895,Tungurahua - O&M Total
mmiranda,CAIDO,mmiranda,INC000086560270,Redes Inalámbricas - Móvil Andina
lveintimilla,FALLA DE AC,yibarra,INC000086560267,Tungurahua - O&M Total
wllumitaxi,FALLA AC,pcriollo,INC000086560260,Manabi - O&M Total
lveintimilla,FALLA DE AC,lveintimilla,INC000086555706,Esmeraldas - O&M Total
atrujillo,PUERTOS CAIDOS,pcriollo,INC000086555704,Manabi - Responsable Provincial de Accesos Manabi
mcnaranjo,CAIDO,amleons,INC000086554942,Huawei
atrujillo,PUERTOS ALARMADOS,egcadena,INC000086554940,Santa Elena - O&M Total
mcnaranjo,CAIDO,amleons,INC000086554938,Manabi - O&M Total
mmiranda,FALLA DE AC,mmiranda,INC000086554934,Redes Inalámbricas - Móvil Andina
mmiranda,FALLA DE AC,mmiranda,INC000086554081,Redes Inalámbricas - Móvil Andina
wllumitaxi,CAIDO,wllumitaxi,INC000086552653,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,CAÍDA,amleons,INC000086549610,Huawei
wllumitaxi,FALLA AC,wllumitaxi,INC000086549607,Manabi - O&M Total
mcnaranjo,CAÍDO,amleons,INC000086548744,Energía y Climatización - Región Pacífico
mcnaranjo,CAÍDO,amleons,INC000086542006,Huawei
mmiranda,GENERADOR EN SERVICIO,mmiranda,INC000086538966,Redes Inalámbricas - Móvil Andina
mcnaranjo,CAÍDO,amleons,INC000086538404,Esmeraldas - O&M Total
mmiranda,FALLA DE AC,mmiranda,INC000086535167,Esmeraldas - O&M Total
inoguera,VOLTAJE F1F1,lveintimilla,INC000086529789,Energía y Climatización - Región Pacífico
inoguera,CAIDO,amleons,INC000086529787,Santa Elena - O&M Total
egcadena,FALLA DE AC,inoguera,INC000086487296,Santa Elena - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086484261,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000086481226,Sto Domingo - O&M Total
yacunia,Falla AC.,pcriollo,INC000086481223,Cotopaxi - O&M Total
egcadena,FALLA DE AC,egcadena,INC000086481222,Santa Elena - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086477429,Redes Inalámbricas - Móvil Pacífico
yacunia,Falla de Red Pública,pcriollo,INC000086476668,Redes Inalámbricas - Móvil Andina
wllumitaxi,FALLA AC,wllumitaxi,INC000086476665,Manabi - O&M Total
yacunia,CAIDO,yacunia,INC000086476664,Redes Inalámbricas - Región Chimborazo
yacunia,Falla AC.,aortiz,INC000086476661,Cotopaxi - O&M Total
gguayanlema,ALARMA DE ENERGÍA,inoguera,INC000086476660,Cotopaxi - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086474383,Redes Inalámbricas - Móvil Pacífico
yacunia,CAIDO,pcriollo,INC000086472103,Redes Inalámbricas - Región Austro
svnaranjo,CAIDO,yibarra,INC000086472101,Imbabura - O&M Total
yacunia,CAIDO,yacunia,INC000086472099,Redes Inalámbricas - Móvil Andina
gguayanlema,ALARMA DE ENERGÍA,lveintimilla,INC000086467777,LOJA - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086464953,Redes Inalámbricas - Móvil Pacífico
atrujillo,CAIDO,amleons,INC000086464508,Manabi - O&M Total
yacunia,CAIDO,jdgranda,INC000086463652,Redes Inalámbricas - Móvil Andina
yacunia,CAIDO,pcriollo,INC000086462224,Redes Inalámbricas - Móvil Pacífico
mmiranda,FALLA DE AC,pcriollo,INC000086461462,Redes Inalámbricas - Móvil Andina
mcnaranjo,FALLA AC,gguayanlema,INC000086461461,Unidad de Soporte de Servicios Masivos
basanguano,CAIDO,basanguano,INC000086460694,Redes Inalámbricas - Móvil Pacífico
mmiranda,CAIDO,pcriollo,INC000086459176,Redes Inalámbricas - Móvil Andina
mmiranda,FALLA DE AC,pcriollo,INC000086456894,Redes Inalámbricas - Móvil Andina
lveintimilla,FALLA DE AC,pcriollo,INC000086456891,Unidad de Soporte de Servicios Masivos
mmiranda,FALLA DE AC,mmiranda,INC000086456888,Galápagos - O&M Total
lveintimilla,FALLA DE EC,lveintimilla,INC000086454610,Cotopaxi - O&M Total
mcnaranjo,FALLA AC,mcnaranjo,INC000086453849,Manabi - O&M Total
atrujillo,CAIDO,rtaco,INC000086452332,Telxius
lveintimilla,CAIDO,amleons,INC000086451572,Manabi - O&M Total
atrujillo,CAIDO,amleons,INC000086451569,Galápagos - O&M Total
mcnaranjo,FALLA AC,gguayanlema,INC000086450809,Galápagos - O&M Total
atrujillo,CAIDO,pcriollo,INC000086448531,Energía y Climatización - Región Pacífico
basanguano,FALLA AC,wllumitaxi,INC000086447771,Redes Inalámbricas - Móvil Pacífico
mmiranda,SIN RADIAR SECTOR 1,pcriollo,INC000086446247,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,FALLA AC,mcnaranjo,INC000086445487,Energía y Climatización - Región Pacífico
mmiranda,CAIDO,pcriollo,INC000086441824,Redes Inalámbricas - Móvil Andina
mmiranda,CAIDO,mmiranda,INC000086441688,Redes Inalámbricas - Móvil Andina
mcnaranjo,FRAME 0/ SLOT 5,pcriollo,INC000086441686,Azuay - O&M
atrujillo,CAIDO,amleons,INC000086441681,Sucumbios - O&M Total
basanguano,CAIDO,basanguano,INC000086440917,Redes Inalámbricas - Móvil Pacífico
lveintimilla,FALLA AC,mcnaranjo,INC000086435600,Energía y Climatización - Región Andina
basanguano,CAIDO,basanguano,INC000086435582,Redes Inalámbricas - Móvil Pacífico
atrujillo,CAIDO,pcriollo,INC000086433305,Huawei
mmiranda,CAIDO,mmiranda,INC000086430265,Redes Inalámbricas - Móvil Andina
mcnaranjo,FALLA AC,mcnaranjo,INC000086430260,El Oro - O&M Total
lveintimilla,FALLA DE AC,lveintimilla,INC000086430259,El Oro - O&M Total
atrujillo,CAIDO,amleons,INC000086426466,Santa Elena - O&M Total
aortiz,CAIDO,afaguirre,INC000086421913,Redes Inalámbricas - Móvil Pacífico
aortiz,CAIDO,wllumitaxi,INC000086419592,Redes Inalámbricas - Región Austro
rtaco,CAIDO PUERTOS,egcadena,INC000086419590,El Oro - O&M Total
rtaco,FALLA AC,mcnaranjo,INC000086419588,Morona Santiago - O&M
inoguera,CAIDO,pcriollo,INC000086415037,Los Rios - O&M Total
rtaco,CAIDO,amleons,INC000086414277,Los Rios - O&M Total
aortiz,CAIDO,mmiranda,INC000086414273,Redes Inalámbricas - Móvil Andina
rtaco,FALLA AC,basanguano,INC000086413512,Galápagos - O&M Total
inoguera,CAIDO,pcriollo,INC000086413511,Galápagos - O&M Total
aortiz,CAIDO,mmiranda,INC000086411993,Redes Inalámbricas - Móvil Pacífico
aortiz,CAIDO,mmiranda,INC000086409686,Redes Inalámbricas - Región Chimborazo
rtaco,CAIDO POR FALLA AC,amleons,INC000086408955,Azuay - O&M
inoguera,CAIDO,inoguera,INC000086403645,Columbus Network
aortiz,CAIDO,aortiz,INC000086396818,Redes Inalámbricas - Región Chimborazo
inoguera,CAIDO,amleons,INC000086396059,Cotopaxi - O&M Total
aortiz,CAIDO,mgranda,INC000086393783,Redes Inalámbricas - Región Chimborazo
rtaco,caido pñor falla AC,basanguano,INC000086393780,Los Rios - O&M Total
inoguera,CAIDO,pcriollo,INC000086393779,Chimborazo - O&M Total
aortiz,CAIDO,basanguano,INC000086393775,Redes Inalámbricas - Móvil Pacífico
rtaco,FALLA AC,basanguano,INC000086393773,Cotopaxi - O&M Total
aortiz,ENERGIA,mmiranda,INC000086393771,Cotopaxi - O&M Total
rtaco,FALLA AC,pcriollo,INC000086389221,Los Rios - O&M Total
inoguera,BAJON DE TRAFICO,yibarra,INC000086387608,Redes Fibra Óptica - Anillos Metropolitanos Andina
aortiz,CAIDO,pcriollo,INC000086387606,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,CAIDO,aortiz,INC000086382291,Redes Inalámbricas - Móvil Pacífico
yacunia,CAIDO,yacunia,INC000086381530,Redes Inalámbricas - Móvil Andina
egcadena,FALLA DE AC,rtaco,INC000086380769,Santa Elena - O&M Total
svnaranjo,FALLA DE AC,svnaranjo,INC000086380601,Santa Elena - O&M Total
gguayanlema,INTERMITENCIA,yibarra,INC000086378491,Manabi - O&M Total
yacunia,CAIDO,yacunia,INC000086378490,Redes IP/MPLS - Región Andina
yacunia,CAIDO,gayungan,INC000086375455,Redes Inalámbricas - Móvil Andina
egcadena,FALLA DE AC- INTERMITENTE,egcadena,INC000086374696,Energía y Climatización - Región Andina
yacunia,CAIDO,pcriollo,INC000086373178,Redes Inalámbricas - Móvil Andina
svnaranjo,CAIDO,svnaranjo,INC000086372417,Manabi - O&M Total
svnaranjo,VOLTAJE F1/F2M,svnaranjo,INC000086372414,Manabi - O&M Total
wllumitaxi,CAIDO,gayungan,INC000086372412,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,pcriollo,INC000086371647,Energía y Climatización - Región Andina
wllumitaxi,FALLA AC,wllumitaxi,INC000086371646,Los Rios - O&M Total
yacunia,CAIDO,yacunia,INC000086371177,Redes Inalámbricas - Móvil Andina
svnaranjo,MODULO RTF,svnaranjo,INC000086370886,Los Rios - O&M Total
yacunia,CAIDO,mmiranda,INC000086368608,Redes Inalámbricas - Móvil Andina
egcadena,CAIDO,egcadena,INC000086367847,Orellana - O&M Total
egcadena,FALLA DE AC,egcadena,INC000086367841,Manabi - O&M Total
svnaranjo,FALLA DE AC,svnaranjo,INC000086367838,Imbabura - O&M Total
yacunia,Falla AC.,aortiz,INC000086367833,Redes Inalámbricas - Móvil Andina
egcadena,FALLA DE AC,rtaco,INC000086367829,Unidad de Soporte de Servicios Masivos
yacunia,Falla AC.,pcriollo,INC000086367828,Imbabura - O&M Total
svnaranjo,VOLTAJE F1/F2,svnaranjo,INC000086365710,Imbabura - O&M Total
egcadena,CAIDO,mgranda,INC000086365550,Carchi - O&M Total
yacunia,SECTOR SIN RADIAR,mmiranda,INC000086365106,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000086364029,Imbabura - O&M Total
wllumitaxi,FALLA AC,wllumitaxi,INC000086364025,Manabi - O&M Total
egcadena,FALLA DE AC,pcriollo,INC000086363420,Orellana - O&M Total
wllumitaxi,CAIDO,afaguirre,INC000086363262,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,FALLA AC,wllumitaxi,INC000086359737,Manabi - O&M Total
wllumitaxi,CAIDO,mgranda,INC000086359462,Redes Inalámbricas - Móvil Pacífico
gguayanlema,cau}ido,amleons,INC000086358701,Energía y Climatización - Región Pacífico
yacunia,Falla AC.,mmiranda,INC000086358700,Redes Inalámbricas - Móvil Andina
egcadena,FALLA DE AC,mcnaranjo,INC000086358699,Azuay - O&M
wllumitaxi,FALLA AC,basanguano,INC000086358695,Redes Inalámbricas - Región Chimborazo
svnaranjo,MODULO RTF,svnaranjo,INC000086358693,Energía y Climatización - Región Pacífico
yacunia,Falla AC.,pcriollo,INC000086358687,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,amleons,INC000086354891,Energía y Climatización - Región Pacífico
basanguano,CAIDO,wllumitaxi,INC000086353367,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,CAÍDO,amleons,INC000086351591,Esmeraldas - O&M Total
mmiranda,CAIDO,pcriollo,INC000086350326,Redes Inalámbricas - Móvil Andina
mmiranda,INTERMITENTE,mmiranda,INC000086348801,Redes Inalámbricas - Móvil Andina
mmiranda,CAIDO,pcriollo,INC000086348795,Redes Inalámbricas - Móvil Pacífico
basanguano,CAIDO,basanguano,INC000086348794,Redes Inalámbricas - Móvil Pacífico
mmiranda,CAIDO,mmiranda,INC000086347274,Redes Inalámbricas - Móvil Andina
lveintimilla,CAIDO,amleons,INC000086346511,Sucumbios - O&M Total
basanguano,FALLA AC,basanguano,INC000086346510,Manabi - O&M Total
basanguano,CAIDO,jdgranda,INC000086344991,Redes Inalámbricas - Móvil Pacífico
mmiranda,CAIDO,pcriollo,INC000086344229,Redes Inalámbricas - Móvil Andina
mcnaranjo,FALLA AC,egcadena,INC000086344222,Energía y Climatización - Región Andina
lveintimilla,CAIDO,amleons,INC000086338894,Energía y Climatización - Región Andina
atrujillo,Voltaje F1/F2,svnaranjo,INC000086338893,Energía y Climatización - Región Andina
basanguano,CAIDO,aortiz,INC000086333551,Redes Inalámbricas - Móvil Pacífico
mmiranda,CAIDO,aortiz,INC000086333543,Redes Inalámbricas - Región Austro
mmiranda,CAIDO,mmiranda,INC000086331942,Redes Inalámbricas - Móvil Andina
atrujillo,Voltaje F1/F2,svnaranjo,INC000086328985,Azuay - O&M
lveintimilla,CAIDO,svnaranjo,INC000086328975,Columbus Network
atrujillo,Voltaje F1/F2,atrujillo,INC000086328973,Esmeraldas - O&M Total
basanguano,FALLAAC,aortiz,INC000086328971,Redes Inalámbricas - Móvil Pacífico
mmiranda,CAIDO,mmiranda,INC000086323650,Redes Inalámbricas - Móvil Andina
mmiranda,FALLA DE AC,mmiranda,INC000086323647,Esmeraldas - O&M Total
mmiranda,CAIDO,mmiranda,INC000086323638,Redes Inalámbricas - Móvil Andina
mmiranda,FALLA DE AC,mmiranda,INC000086323635,Redes Inalámbricas - Móvil Andina
basanguano,FALLA AC,wllumitaxi,INC000086322874,Redes Inalámbricas - Móvil Pacífico
mmiranda,FALLA DE AC,mmiranda,INC000086322872,Redes Inalámbricas - Móvil Andina
basanguano,CAIDO,basanguano,INC000086319075,Redes Inalámbricas - Móvil Pacífico
basanguano,CAIDO,basanguano,INC000086319073,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,CAÍDO,amleons,INC000086319067,Manabi - O&M Total
mcnaranjo,CAÍDO,amleons,INC000086319064,Unidad de Soporte de Servicios Masivos
lveintimilla,CAIDO,amleons,INC000086317535,Manabi - O&M Total
aortiz,ENERGÍA,basanguano,INC000086314459,Manabi - O&M Total
aortiz,CAIDO,mmiranda,INC000086314457,Redes Inalámbricas - Móvil Andina
inoguera,VOLTAJE F1F2 y MÓDULOS RTf,inoguera,INC000086314454,Cotopaxi - O&M Total
inoguera,The AC power is off,mcnaranjo,INC000086314452,Manabi - O&M Total
inoguera,The AC power is off,mcnaranjo,INC000086314447,Los Rios - O&M Total
rtaco,CAIDO,pcriollo,INC000086314445,Energía y Climatización - Región Pacífico
inoguera,ALARMADO TODO EL SITIO,atrujillo,INC000086312926,Redes Inalámbricas - Troncalizado Andina
aortiz,ENERGÍA,mmiranda,INC000086312567,Galápagos - O&M Total
aortiz,CAIDO,mmiranda,INC000086310649,Redes Inalámbricas - Móvil Pacífico
aortiz,ENERGIA,gayungan,INC000086309888,Redes Inalámbricas - Móvil Andina
aortiz,CAIDO,aortiz,INC000086309886,Redes Inalámbricas - Móvil Andina
inoguera,VOLTAJE F1F2 y MÓDULOS RTF,atrujillo,INC000086309126,Tungurahua - O&M Total
inoguera,MÓDULOS RTF y VOLTAJE F1F2,atrujillo,INC000086308366,Energía y Climatización - Región Pacífico
inoguera,ALARMADA,pcriollo,INC000086305584,Redes Inalámbricas - Troncalizado Pacífico
rtaco,CAIDO,amleons,INC000086305329,Energía y Climatización - Región Pacífico
inoguera,CAIDO,basanguano,INC000086303806,Redes Inalámbricas - Región Austro
inoguera,CAIDO,basanguano,INC000086303804,Redes Inalámbricas - Región Austro
rtaco,CAIDO,amleons,INC000086303802,LOJA - O&M Total
aortiz,CAIDO,aortiz,INC000086295457,Redes Inalámbricas - Móvil Pacífico
rtaco,CAIDO,amleons,INC000086294697,Energía y Climatización - Región Pacífico
inoguera,FALLA DE AC,inoguera,INC000086294696,Redes Inalámbricas - Móvil Pacífico
aortiz,CAIDO,pcriollo,INC000086293936,Redes Inalámbricas - Móvil Pacífico
rtaco,CAIDO,amleons,INC000086293934,Manabi - O&M Total
rtaco,CAIDO,amleons,INC000086293174,El Oro - O&M Total
aortiz,CAIDO,mmiranda,INC000086293172,Redes Inalámbricas - Móvil Pacífico
inoguera,FALLA DE AC,basanguano,INC000086289380,El Oro - O&M Total
inoguera,The AC power is off,mcnaranjo,INC000086289378,LOJA - O&M Total
inoguera,FALLA DE AC,basanguano,INC000086289376,LOJA - O&M Total
inoguera,The AC power is off,inoguera,INC000086287100,El Oro - O&M Total
aortiz,CAIDO,basanguano,INC000086283305,Redes Inalámbricas - Móvil Pacífico
inoguera,CAIDO,basanguano,INC000086283304,Redes Inalámbricas - Región Austro
aortiz,CAIDO,aortiz,INC000086282479,Redes Inalámbricas - Móvil Pacífico
basanguano,FALLA AC,aortiz,INC000086279444,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000086278672,Energía y Climatización - Región Pacífico
egcadena,FALLA DE AC,egcadena,INC000086278670,Energía y Climatización - Región Pacífico
yacunia,CAIDO,yacunia,INC000086277186,Redes Inalámbricas - Móvil Pacífico
lasifuela,CAIDO,lasifuela,INC000086276390,Energía y Climatización - Región Pacífico
alcarvajal,caido,alcarvajal,INC000086276389,Energía y Climatización - Región Pacífico
egcadena,CAIDO,pcriollo,INC000086274113,Energía y Climatización - Región Pacífico
yacunia,Falla AC.,pcriollo,INC000086274110,Redes Inalámbricas - Móvil Pacífico
alucin,falla de ac,basanguano,INC000086273349,Cañar - O&M Total
egcadena,FALLA DE AC,egcadena,INC000086273348,Energía y Climatización - Región Pacífico
alucin,INTERMITENTE,mgranda,INC000086269545,Redes Inalámbricas - Troncalizado Andina
alucin,INTERMITENTE,mgranda,INC000086269542,Redes Inalámbricas - Troncalizado Andina
basanguano,CAIDO,mmiranda,INC000086268783,Redes Inalámbricas - Móvil Andina
yacunia,CAIDO,yacunia,INC000086265976,Redes Inalámbricas - Móvil Pacífico
alcarvajal,tarjeta alarmada Frame1/Slot15,egcadena,INC000086264227,Manabi - O&M Total
yacunia,Falla AC.,pcriollo,INC000086263466,Manabi - O&M Total
yacunia,Falla AC.,basanguano,INC000086258906,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000086258146,Tungurahua - O&M Total
lasifuela,CAIDOS,pcriollo,INC000086253587,Columbus Network
basanguano,FALLA AC,basanguano,INC000086252825,Redes Inalámbricas - Móvil Andina
alcarvajal,abnornal voltage,mgranda,INC000086252822,Energía y Climatización - Región Andina
yacunia,FALLA DE RED PUBLICA,aortiz,INC000086252811,El Oro - O&M Total
alcarvajal,alarmas de energía,inoguera,INC000086252043,Energía y Climatización - Región Pacífico
yacunia,CAIDO,yacunia,INC000086250520,Redes Inalámbricas - Región Austro
yacunia,CAIDO,pcriollo,INC000086249760,Redes Inalámbricas - Móvil Pacífico
yacunia,Revisión de KPIS de accesibilidad y retenibilidad,yacunia,INC000086248995,Redes Inalámbricas - Optimización Andina
yacunia,Falla AC.,pcriollo,INC000086248214,Redes Inalámbricas - Móvil Pacífico
lasifuela,CAIDO,calopez,INC000086248197,Huawei
alcarvajal,caido,calopez,INC000086248178,Unidad de Soporte de Servicios Masivos
gayungan,CAIDO,gayungan,INC000086245110,Redes Inalámbricas - Móvil Pacífico
gayungan,FALLA DE AC,pcriollo,INC000086243573,Redes Inalámbricas - Región Austro
mcnaranjo,FALLA AC,mcnaranjo,INC000086243565,Zamora - O&M
mdpacheco,CAIDO,yibarra,INC000086243559,Zamora - O&M
gayungan,FALLA DE AC,alucin,INC000086243554,Redes Inalámbricas - Región Austro
mcnaranjo,FALLA AC,egcadena,INC000086243533,Azuay - O&M
cjimenez,FALLA VOLTAJE F1F2,cjimenez,INC000086243524,Manabi - O&M Total
mmiranda,CAIDO,mmiranda,INC000086243522,Redes Inalámbricas - Móvil Andina
cjimenez,CAIDO,cjimenez,INC000086243513,Redes Inalámbricas - Móvil Pacífico
mmiranda,CAIDO,mmiranda,INC000086241218,Redes Inalámbricas - Móvil Pacífico
fomorocho,FALLA AC,alucin,INC000086240793,Azuay - O&M
mmiranda,FALLA DE AC,mmiranda,INC000086239681,Redes Inalámbricas - Móvil Pacífico
fomorocho,CAIDA,yibarra,INC000086238918,Morona Santiago - O&M
cjimenez,CAIDO,cjimenez,INC000086238917,Redes Inalámbricas - Región Austro
mmiranda,CAIDO,basanguano,INC000086238915,Redes Inalámbricas - Móvil Pacífico
mmiranda,FALLA DE AC,mmiranda,INC000086238910,Orellana - O&M Total
mmiranda,Trabajos sobre equipo mpls,mmiranda,INC000086238904,Redes Inalámbricas - Móvil Andina
mmiranda,FALLA DE AC,mmiranda,INC000086238901,Redes Inalámbricas - Móvil Andina
mmiranda,CAIDO,mmiranda,INC000086238891,Redes Inalámbricas - Móvil Andina
mcnaranjo,CAÍDO,yibarra,INC000086238883,Orellana - O&M Total
gguayanlema,PUERTO ALARMADO,pcriollo,INC000086238869,Accesos - Zona Integral 7
cjimenez,CAIDO,cjimenez,INC000086236587,Redes Inalámbricas - Móvil Pacífico
saushay,ALARMA DE ENERGIA,saushay,INC000086236585,Esmeraldas - O&M Total
mdpacheco,CAIDO,yibarra,INC000086235053,Energía y Climatización - Región Pacífico
mdpacheco,ENLACE CAIDO,lasifuela,INC000086234282,Huawei
saushay,RUTA ALARMADA,saushay,INC000086234277,Redes Inalámbricas - Troncalizado Pacífico
cjimenez,CELL DISABLED,cjimenez,INC000086234258,Redes Inalámbricas - Móvil Pacífico
cjimenez,CAIDO,cjimenez,INC000086234255,Redes Inalámbricas - Móvil Pacífico
mdpacheco,CAIDO,alcarvajal,INC000086234246,Santa Elena - O&M Total
mmiranda,CAIDO,mmiranda,INC000086230427,Redes Inalámbricas - Móvil Andina
gayungan,FALLA DE AC,cjimenez,INC000086230418,Manabi - O&M Total
mdpacheco,CAIDO,mdpacheco,INC000086230416,Sucumbios - O&M Total
mcnaranjo,FALLA AC,mcnaranjo,INC000086229624,Morona Santiago - O&M
mmiranda,CAIDO,mmiranda,INC000086229616,Redes Inalámbricas - Móvil Andina
mcnaranjo,FALLA AC,egcadena,INC000086225776,Unidad de Soporte de Servicios Masivos
gayungan,LOCAL CELL ID 1,2,3,gayungan,INC000086224982,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,FALLA AC,mcnaranjo,INC000086224960,Unidad de Soporte de Servicios Masivos
mmiranda,FALLA DE AC,mmiranda,INC000086224956,Esmeraldas - O&M Total
gguayanlema,puerto alarmado,pcriollo,INC000086222656,Napo - O&M Total
mcnaranjo,ALARMA A1,mcnaranjo,INC000086221117,El Oro - O&M Total
gguayanlema,CAIDO,pcriollo,INC000086221116,Redes Fibra Óptica - Red Troncal Pacífico
mmiranda,FALLA DE AC,mmiranda,INC000086220338,Redes Inalámbricas - Móvil Andina
gguayanlema,CAIDO,pcriollo,INC000086220326,El Oro - O&M Total
mcnaranjo,FALLA MODULO RECTIFICADOR,mcnaranjo,INC000086220312,Esmeraldas - O&M Total
mcnaranjo,FALLA MODULO RECTIFICADOR,gguayanlema,INC000086220308,Energía y Climatización - Región Pacífico
mcnaranjo,FALLA MODULO RECTIFICADO,mcnaranjo,INC000086220303,Los Rios - O&M Total
mmiranda,FALLA DE AC,mmiranda,INC000086220287,Sto Domingo - O&M Total
mgranda,CAIDO,mgranda,INC000086220281,MR & CT - Monitoreo de Red
saushay,INTERMINTENCIA,saushay,INC000086217478,Redes Inalámbricas - Infraestructura O&M
mcnaranjo,FALLA AC,mcnaranjo,INC000086217164,Sucumbios - O&M Total
mmiranda,CAIDO,mmiranda,INC000086216499,Redes Inalámbricas - Región Chimborazo
mdpacheco,INTERMITENTE,pcriollo,INC000086216451,Manabi - O&M Total
saushay,RUTA ALARMADA,saushay,INC000086215668,Redes Inalámbricas - Región Chimborazo
mmiranda,GENERADOR EN SERVICIO,mmiranda,INC000086215649,Redes Inalámbricas - Móvil Andina
gguayanlema,alarma de energía,gguayanlema,INC000086215636,Azuay - O&M
wllumitaxi,purebas,wllumitaxi,INC000086215622,MR & CT - Monitoreo de Red
mcnaranjo,CAÍDA DE INTERFACES,pcriollo,INC000086215608,Energía y Climatización - Región Pacífico
cjimenez,CAIDO,cjimenez,INC000086215607,Redes Inalámbricas - Móvil Pacífico
cjimenez,FALLA DE AC,cjimenez,INC000086214821,Santa Elena - O&M Total
mcnaranjo,FALLA AC,mcnaranjo,INC000086214160,Santa Elena - O&M Total
gguayanlema,PUERTOS ALARMADOS,pcriollo,INC000086212887,El Oro - O&M Accesos
atrujillo,PUERTOS ALARMADOS,pcriollo,INC000086211742,Accesos - Zona Integral 7
atrujillo,Voltaje F1/F2,gguayanlema,INC000086211733,El Oro - O&M Total
atrujillo,Voltaje F1/F2,mcnaranjo,INC000086210968,Orellana - O&M Total
atrujillo,CAIDO,saushay,INC000086210965,Redes Inalámbricas - Troncalizado Andina
palvear,FALLA AC,mmiranda,INC000086210960,Orellana - O&M Total
wllumitaxi,FALLA AC,gayungan,INC000086210959,Orellana - O&M Total
wllumitaxi,FALLA AC,cjimenez,INC000086206256,Manabi - O&M Total
atrujillo,CAIDO,pcriollo,INC000086205580,Sto Domingo - O&M Total
wllumitaxi,CAIDO,cjimenez,INC000086205578,Redes Inalámbricas - Móvil Pacífico
svnaranjo,CAIDO,amleons,INC000086204060,Energía y Climatización - Región Pacífico
atrujillo,CAIDO,atrujillo,INC000086202542,Redes Inalámbricas - Troncalizado Andina
atrujillo,Voltaje F1/F2,pcriollo,INC000086202541,Manabi - O&M Total
atrujillo,Voltaje F1/F2,gguayanlema,INC000086201781,Sto Domingo - O&M Total
svnaranjo,CAIDO,amleons,INC000086201021,Manabi - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086201018,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,FALLA AC,wllumitaxi,INC000086200257,Manabi - O&M Total
wllumitaxi,CAIDO,gayungan,INC000086200255,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,FALLA AC,gayungan,INC000086197979,Manabi - O&M Total
palvear,CAÍDO,pcriollo,INC000086197219,Redes Inalámbricas - Móvil Pacífico
atrujillo,CAIDO,pcriollo,INC000086197217,Manabi - O&M Total
